Title,Date,"Bible Passage",Content,enclosure,Powerpoint,Categories,Series,podPressMedia
"John 8: Light and Truth",2002-04-07,,,"https://repo.neofreedom.org/public/audio/podcasts/xt20020407.mp3
3155256
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:52:34"";}",,"Central Teachings>New Testament>John",John,
"John 11: Death, the Final Foe",2002-04-21,,,"https://repo.neofreedom.org/public/audio/podcasts/xt20020421.mp3
2875464
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:47:54"";}",,"Central Teachings>New Testament>John",John,
"Philippians 4: Real Peace",2014-10-04,,"

Mark Michalek teaches about what Philippians chapter four has to say about worry, anxiety, and negativity.","http://repo.neofreedom.org/public/audio/podcasts/xt20141004.mp3
54842830
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:57:08"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/Phil 4 - PEACE.pptx","Central Teachings>New Testament>Philippians",Philippians,
"John 12: ""Sculpting God""",2006-02-12,,,"http://repo.neofreedom.org/public/audio/podcasts/xt20060212.mp3
43934932
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:45:46"";}",,"Central Teachings>New Testament>John",,
"John 12: The Parousia of Christ",2002-05-05,,,"https://repo.neofreedom.org/public/audio/podcasts/xt20020505.mp3
2470824
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:41:10"";}",,"Central Teachings>New Testament>John",John,
"John 17: Most Effective Evidence: Unity",2002-06-23,,,"https://repo.neofreedom.org/public/audio/podcasts/xt20020623.mp3
1718928
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:28:38"";}",,"Central Teachings>New Testament>John",John,
"John 17: The Christian and the World",2002-06-16,,,"https://repo.neofreedom.org/public/audio/podcasts/xt20020616.mp3
2736864
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:45:36"";}",,"Central Teachings>New Testament>John",John,
"John 13: What Love is",2002-05-19,,,"https://repo.neofreedom.org/public/audio/podcasts/xt20020519.mp3
2543616
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:42:23"";}",,"Central Teachings>New Testament>John",John,
"Philippians 4:10ff - The Secret",2014-10-11,,"

Keith McCallum finishes off the ""Letter of Joy"" with a teaching on Paul's ""secret"" of being content in whatever circumstance he finds himself in and what it means for our lives.","http://repo.neofreedom.org/public/audio/podcasts/xt20141011.mp3
54988280
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:57:17"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/Phil4c The Secret.pptx","Central Teachings>New Testament>Philippians",Philippians,
"John 14-16: The Holy Spirit",2002-06-02,,,"https://repo.neofreedom.org/public/audio/podcasts/xt20020602.mp3
2879712
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:47:59"";}",,"Central Teachings>New Testament>John",John,
"John 15: The Vine and the Branches",2002-06-09,,,"https://repo.neofreedom.org/public/audio/podcasts/xt20020609.mp3
2590560
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:43:10"";}",,"Central Teachings>New Testament>John",John,
"John 18-19: People Around the Cross",2002-06-30,,,"https://repo.neofreedom.org/public/audio/podcasts/xt20020630.mp3
2856744
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:47:36"";}",,"Central Teachings>New Testament>John",John,
"Proverbs: Guidance System Active",2014-10-25,,"

Mark Michalek teaches from the book of Proverbs on how God guides us.","http://repo.neofreedom.org/public/audio/podcasts/xt20141025.mp3
37880793
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:39:27"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/Proverbs Guidance System Active.pptx","Central Teachings>Old Testament>Proverbs",,
"John: The Cross and God's Plan",2002-07-14,,,"https://repo.neofreedom.org/public/audio/podcasts/xt20020714.mp3
2500200
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:41:39"";}",,"Central Teachings>New Testament>John",John,
"John 20-21: Two Encounters After the Resurrection",2002-07-21,,,"https://repo.neofreedom.org/public/audio/podcasts/xt20020721.mp3
2434176
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:40:33"";}",,"Central Teachings>New Testament>John",John,
"Luke 16:1-13 - The Unrighteous Steward",2005-03-20,,,"http://repo.neofreedom.org/public/audio/podcasts/xt20050320.mp3
36773201
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:38:18"";}",,"Central Teachings>New Testament>Luke",,
"Acts: The Unsung Hero of the New Testament",2002-07-28,,,"https://repo.neofreedom.org/public/audio/podcasts/xt20020728.mp3
3220416
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:53:39"";}",,"Central Teachings>New Testament>Acts",,
"I Timothy 1: The Goal",2014-11-01,,"<a href=""http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Tim1a.pptm"">Download PowerPoint</a>

Keith McCallum begins the I Timothy series with what our goal is as followers of Christ and how we are able to achieve this goal.","http://repo.neofreedom.org/public/audio/podcasts/xt20141101.mp3
64186308
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:06:52"";}",,"Central Teachings>New Testament>I Timothy","1 Timothy",
"I Timothy 1: Legalism",2014-11-08,,"

Keith McCallum teaches about the poison that leaks in and calls itself Christianity.","http://repo.neofreedom.org/public/audio/podcasts/xt20141108.mp3
47623421
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:49:36"";}",http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Tim1b.pptx,"Central Teachings>New Testament>I Timothy","1 Timothy",
"I Timothy 1: The Worst",2014-11-15,,"

Mark Michalek teaches on what Paul meant when he said he was ""the worst of all sinners.""","http://repo.neofreedom.org/public/audio/podcasts/xt20141115.mp3
40283640
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:41:58"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/1 Tim 1 12-17 Worst specimen V2.pptx","Central Teachings>New Testament>I Timothy","1 Timothy",
"I Timothy 1: Fight",2014-12-06,,"

Keith McCallum teaches about the issue of the need to fight.","http://repo.neofreedom.org/public/audio/podcasts/xt20141206.mp3
57345988
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:59:44"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Tim.1d Fight.pptx","Central Teachings>New Testament>I Timothy","1 Timothy",
"Christmas Gala 2014",2014-12-13,,"

Mark Michalek teaches about what Christmas means.","http://repo.neofreedom.org/public/audio/podcasts/xt20141213.mp3
37740776
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:39:19"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/Christmas Gala 2014 SLIDESHOW.pptx","Special Events>Christmas Gala|Central Teachings>New Testament>1 John|Teacher>Mark Michalek",,
"Luke 2:1-20 - The Christmas Story",2000-12-24,,,"https://repo.neofreedom.org/public/audio/podcasts/xt20001224.mp3
1727280
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:28:46"";}",,"Central Teachings>New Testament>Luke",,
"The Unsung Hero of Acts, or My ""Hero""",2000-12-10,,,"https://repo.neofreedom.org/public/audio/podcasts/xt20001210.mp3
3111840
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:51:51"";}",,"Central Teachings>New Testament",,
"I Timothy 2: Women",2015-01-10,,"

Keith McCallum teaches on one of the problem passages in the Bible and how we are able to interpret what it says.","http://repo.neofreedom.org/public/audio/podcasts/xt20150110.mp3
82045286
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:25:28"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/1 Tim.2 Women.pptx","Central Teachings>New Testament>I Timothy","1 Timothy",
"I Timothy 3: Spiritual Leadership",2015-01-24,,"

Keith McCallum teaches on what Paul was talking about to Timothy when it comes to ""real"" leadership.","http://repo.neofreedom.org/public/audio/podcasts/xt20150124.mp3
63681831
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:06:20"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Tim3a Spiritual Leadership.pptx","Central Teachings>New Testament>I Timothy","1 Timothy",
"I Timothy 3: Authority Issues",2015-01-31,,"

Keith McCallum teaches on what the Bible says about the REAL authority issues that we all have.","http://repo.neofreedom.org/public/audio/podcasts/xt20150131.mp3
4287096
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:11:26"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Tim.3b Authority Issues.pptx","Central Teachings>New Testament>I Timothy","1 Timothy",
"John 13: The Last Supper",2002-05-12,,,"http://repo.neofreedom.org/public/audio/podcasts/xt20020512.mp3
3033864
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:50:33"";}",,"Central Teachings>New Testament>John",John,
"Why Sacrifice?",2015-02-07,,"Keith McCallum teaches on the way of peace.","http://repo.neofreedom.org/public/audio/podcasts/xt20150207.mp3
5392944
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:29:52"";}",,"Retreat Teachings>FST|Central Teachings>Topical|Teacher>Keith McCallum",,
Obedience,2015-02-07,,"Mark Michalek teaches about some examples of obedience.","http://repo.neofreedom.org/public/audio/podcasts/xt20150207_2.mp3
2013768
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:33:33"";}",,"Retreat Teachings>FST|Central Teachings>Topical|Teacher>Mark Michalek",,
"Acts: Stages of the Church (Pastor Benny)",2015-02-14,,"All the way from India, guest speaker, Pastor Benny gives a teaching on the different stages of the church found in the book of Acts and how that applies to the church today.","http://repo.neofreedom.org/public/audio/podcasts/xt20150213.mp3
2146824
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:35:46"";}",,"Central Teachings>New Testament>Acts|Teacher>Guest",,
"I Timothy 3: The Pillar",2015-02-28,,"

Keith McCallum teaches on how the certainty of God can be our pillar when it comes to the uncertainty of life.","http://repo.neofreedom.org/public/audio/podcasts/xt20150228.mp3
3746880
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:02:26"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Tim3c The Pillar.pptx","Central Teachings>New Testament>I Timothy","1 Timothy",
"I Timothy 4: Beautiful Godliness",2015-03-07,,"

Keith McCallum and Joel Hughes demystify the ""great mystery of godliness"".","http://repo.neofreedom.org/public/audio/podcasts/xt20150307.mp3
3733344
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:02:12"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Tim.4a Godliness.pptx","Central Teachings>New Testament>I Timothy","1 Timothy",
"I Timothy 4: Young and Wise",2015-03-14,,"

Mark Michalek and Keith McCallum teach about what Paul meant to not allow anyone ""to look down on your youthfulness.""","http://repo.neofreedom.org/public/audio/podcasts/xt20150314.mp3
4805352
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:20:04"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Tim4b Young &amp; Wise.pptx","Central Teachings>New Testament>I Timothy","1 Timothy",
"I Corinthians 15 - Resurrection Life",2015-04-04,,"

Keith McCallum teaches about how The Resurrection of Jesus Christ was a historical event and the implications that has on our lives.","http://repo.neofreedom.org/public/audio/podcasts/xt20150404.mp3
3684024
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:01:23"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Cor15 Resurrection.pptx","Central Teachings>New Testament>1 Corinthians",,
"I Timothy 5: Logistics",2015-04-11,,"

Keith McCallum teaches about how logistics can be an important thing when it comes to Christianity.","http://repo.neofreedom.org/public/audio/podcasts/xt20150411.mp3
5025528
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:23:45"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Tim5a Logistics.pptx","Central Teachings>New Testament>I Timothy","1 Timothy",
"I Timothy 6: Great Gain",2015-04-26,,"

Keith McCallum teaches about how to get people engaged in a real fruitful, gainful, profitable lifestyle.","http://repo.neofreedom.org/public/audio/podcasts/xt20150425.mp3
4079952
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:07:59"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Tim6a Great Gain.pptx","Central Teachings>New Testament>I Timothy","1 Timothy",
"I Timothy 6: Fighting to Win",2015-05-02,,"

Keith McCallum wraps up the book of I Timothy with a teaching on what it looks like to be men and women of God.","http://repo.neofreedom.org/public/audio/podcasts/xt20150502.mp3
2521512
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:42:00"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/1Tim6b Fighting to Win.pptx","Central Teachings>New Testament>I Timothy","1 Timothy",
"Isaiah 1: Introduction to Isaiah",2015-05-09,,"Keith McCallum begins the new series of Isaiah with an intro to the book and why it's worth studying it.","http://repo.neofreedom.org/public/audio/podcasts/xt20150509.mp3
3277656
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:54:37"";}",,"Teacher>Keith McCallum|Central Teachings>Old Testament>Isaiah",,
"Isaiah 2-6 - The Real World",2015-05-16,,"

Keith McCallum teaches about how Isaiah describes what the ""real world"" looks like.","http://repo.neofreedom.org/public/audio/podcasts/xt20150516.mp3
4306176
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:11:45"";}","http://www.repo.neofreedom.org/public/documents/mspowerpoint/Is02-6 the Real World.pptx","Teacher>Keith McCallum|Central Teachings>Old Testament>Isaiah",,
"Exodus: Birth of God's Plan",2015-05-22,,"Keith McCallum begins the weekend with a teaching on Exodus, the ""Birth of God's Plan"".","http://repo.neofreedom.org/public/audio/podcasts/xt20150522.mp3
3868632
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:04:28"";}",,"Central Teachings>Topical>God's Plan in Exodus|Retreat Teachings>Memorial Day Camping|Teacher>Keith McCallum","God's Plan in Exodus",
"Exodus: To the Promise land",2015-05-23,,"Kyle McCallum continues the weekend series on Exodus with what happened to the Israelites when they left Egypt.","http://repo.neofreedom.org/public/audio/podcasts/xt20150523.mp3
3265416
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:54:24"";}",,"Central Teachings>Topical>God's Plan in Exodus|Retreat Teachings>Memorial Day Camping|Teacher>Guest","God's Plan in Exodus",
"Exodus: Thinking Differently",2015-05-23,,"Joel Hughes wraps up the weekend series of Exodus with a teaching about the changes people need to have when they think about things now that they have been set free.","http://repo.neofreedom.org/public/audio/podcasts/xt20150523_1.mp3
2051568
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:34:11"";}",,"Teacher>Joel Hughes|Central Teachings>Topical>God's Plan in Exodus|Retreat Teachings>Memorial Day Camping","God's Plan in Exodus",
"Isaiah 7-9 - Trouble",2015-05-30,,"Keith McCallum teaches about how we are living in a world of trouble and able to hide it so well from each other.","http://repo.neofreedom.org/public/audio/podcasts/xt20150530.mp3
3829248
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:03:48"";}",,"Teacher>Keith McCallum|Central Teachings>Old Testament>Isaiah",,
"Isaiah 11 - Peace",2015-06-06,,"Keith McCallum teaches about how peace is God's will for us.","http://repo.neofreedom.org/public/audio/podcasts/xt20150606.mp3
3606336
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:00:05"";}",,"Teacher>Keith McCallum|Central Teachings>Old Testament>Isaiah",,
"White Water Rafting 2015",2015-06-12,,"Keith McCallum teaches about how it is possible to be following a ""god"" who does not even exist and the problems that arise as a result of this.","http://repo.neofreedom.org/public/audio/podcasts/xt20150612.mp3
3921048
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:05:20"";}",,"Central Teachings>Topical>Bible Characters>Elijah|Retreat Teachings>White Water Rafting|Special Events|Teacher>Keith McCallum",,
"King Hezekiah: God Opposes the Proud and Gives Grace to the Humble",2015-06-15,,"Todd Muller teaches about how King Hezekiah trusted in the Lord and received grace through that.","http://repo.neofreedom.org/public/audio/podcasts/xt20150613.mp3
3086856
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:51:26"";}",,"Central Teachings>Old Testament>Isaiah",,
"Psalm 23 - God Meets Our Deepest Needs",2015-06-20,,"Joel Hughes teaches about how God can and wants to meet all of our relational, emotional, and physical needs.",http://repo.neofreedom.org/public/audio/podcasts/xt20150620.mp3,,"Central Teachings>Old Testament>Psalms",,
"Superior Christians vs The Supremacy of Christ",2015-06-27,,"

Greg Morscher teaches about ""The Supremacy of Christ.""","http://repo.neofreedom.org/public/audio/podcasts/xt20150627.mp3
22472649
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:53:30"";}",http://repo.neofreedom.org/public/documents/mspowerpoint/Superior%20Christians%20vs%20The%20Supremacy%20of%20Christ.pptx,"Central Teachings>Topical",,
"Isaiah 11-14 - The Regathering",2015-07-11,,"Keith McCallum teaches about how current events are connected to Biblical prophecy.","http://repo.neofreedom.org/public/audio/podcasts/xt20150711.mp3
31105152
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:14:03"";}",,"Teacher>Keith McCallum|Central Teachings>Old Testament>Isaiah",,
"Isaiah 14 - I Will",2015-07-26,,"Keith continues to teach over Isaiah 14",http://repo.neofreedom.org/public/audio/podcasts/xt20150725.mp3,,"Teacher>Keith McCallum|Central Teachings>Old Testament>Isaiah",,
"The Sovereignty of God",2015-08-01,,"Tonight Greg teaches over the sovereignty of God.",http://repo.neofreedom.org/public/audio/podcasts/xt20150801.mp3,,"Central Teachings",,
"1 Samuel 3: The Calling of Samuel",2015-08-09,,"Tonight Joel Hughes teaches over the calling of Samuel.",http://repo.neofreedom.org/public/audio/podcasts/xt20150808.mp3,,"Central Teachings>Old Testament>1 Samuel",,
"Luke 15 - The Parable of the Two Sons",2015-08-16,,"Kyle McCallum teaches on ""The Prodigal Son"" passage.","http://repo.neofreedom.org/public/audio/podcasts/xt20150815.mp3
55463918
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:57:46"";}",,"Central Teachings>New Testament>Luke",,
"Isaiah 40 - The Peaceful Fight",2015-08-22,,"Keith McCallum teaches about the way of peace.","http://repo.neofreedom.org/public/audio/podcasts/xt20150822.mp3
83987542
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:27:29"";}",,"Teacher>Keith McCallum|Central Teachings>Old Testament>Isaiah",,
"Back to the Basics of Christianity",2015-08-29,,"Tom Smith and Jordan Yoerger teach on the basics of living a fulfilling christian life.","http://repo.neofreedom.org/public/audio/podcasts/xt20150829.mp3
8080200
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:44:53"";}",,"Central Teachings>Topical",,
"Labor Day 2015",2015-09-05,,"Keith teaches about Elijah, The Great Prophet","http://repo.neofreedom.org/public/audio/podcasts/xt20150905.mp3
3524688
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Central Teachings>Topical>Bible Characters>Elijah|Retreat Teachings>Labor Day Camping",,
"neofreedom Baptisms 2015",2015-09-13,,"Keith teaches at West Branch State Park to prepare everyone for baptisms.","http://repo.neofreedom.org/public/audio/podcasts/baptism2015.mp3
2156040
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";N;s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}|http://repo.neofreedom.org/public/audio/podcasts/baptism2015.mp3
2156040
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";N;s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Special Events>Baptisms|Central Teachings>Topical>Bible Characters>Elijah|Teacher>Keith McCallum",,
"Isaiah 41-45 - Solutions",2015-09-19,,[podcast]http://www.repo.neofreedom.org/public/audio/podcasts/xt20150919.mp3[/podcast],"http://repo.neofreedom.org/public/audio/podcasts/xt20150919.mp3
4683384
audio/mpeg
a:5:{s:6:""format"";s:14:""default-format"";s:8:""keywords"";s:0:"""";s:6:""author"";s:0:"""";s:6:""length"";s:0:"""";s:8:""explicit"";s:0:"""";}",,"Teacher>Keith McCallum|Central Teachings>Old Testament>Isaiah",Isaiah,
"Isaiah 50 - Choices",2015-09-26,,,"http://repo.neofreedom.org/public/audio/podcasts/xt20150926.mp3
28261680
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:57:07"";}",,"Teacher>Keith McCallum|Central Teachings>Old Testament>Isaiah",Isaiah,
"Isaiah 53 - The Mystery Revealed",2015-10-04,,"Adam Esterle and Jordan Yoerger teach about one of the greatest prophecies in the Old Testament

[embed]http://www.repo.neofreedom.org/public/video/Isaiah53.mp4[/embed]","http://repo.neofreedom.org/public/audio/podcasts/xt20151003.mp3
29429784
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:55:42"";}",,"Teacher>Keith McCallum|Central Teachings>Old Testament>Isaiah",Isaiah,
"Isaiah 49-55: Knowing God",2015-10-10,,,"http://repo.neofreedom.org/public/audio/podcasts/xt20151010.mp3
24918720
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:53:15"";}",,"Teacher>Keith McCallum|Central Teachings>Old Testament>Isaiah",Isaiah,
"Isaiah 56-60: Haves; Have Nots",2015-10-24,,,"http://repo.neofreedom.org/public/audio/podcasts/xt20151024.mp3
19034454
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:19:19"";}",,"Teacher>Keith McCallum|Central Teachings>Old Testament>Isaiah",Isaiah,
"Isaiah 59-66: The End",2015-10-31,,,"http://repo.neofreedom.org/public/audio/podcasts/xt20151031.mp3
39485440
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:41:08"";}",,"Teacher>Keith McCallum|Central Teachings>Old Testament>Isaiah",Isaiah,
"Revelation 1: A Radical Nation",2015-11-07,,,"http://repo.neofreedom.org/public/audio/podcasts/xt2015117.mp3
67155908
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:09:57"";}",http://www.repo.neofreedom.org/public/documents/mspowerpoint/Rev1.pptx,"Teacher>Keith McCallum|Central Teachings>New Testament>Revelation","Revelation 2015",
"Revelation 2: Jesus VS Christianity",2015-11-14,,,"http://repo.neofreedom.org/public/audio/podcasts/xt20151114.mp3
1306668
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:00:54"";}",https://podcasts.neofreedom.org/files/Rev.02-3-JC-vs-Institutions.pptx,"Teacher>Keith McCallum|Central Teachings>New Testament>Revelation","Revelation 2015",
"Revelation 2: Jesus VS Christianity 2",2015-11-21,,"Testimony by Thomas Tinkler","http://repo.neofreedom.org/public/audio/podcasts/xt201511211.mp3
5712612
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:03:58"";}",,"Teacher>Keith McCallum|Central Teachings>New Testament>Revelation","Revelation 2015",
"Revelation 3: Jesus vs DEAD Institutions",2015-12-05,,,"http://repo.neofreedom.org/public/audio/podcasts/xt20151205.mp3
1457852
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:00:46"";}",http://www.repo.neofreedom.org/public/documents/mspowerpoint/Rev3.pptx,"Teacher>Keith McCallum|Central Teachings>New Testament>Revelation","Revelation 2015",
"Christmas Gala 2015",2015-12-12,,,"http://repo.neofreedom.org/public/audio/podcasts/gala15.mp3
6296255
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:04:22"";}",,"Special Events>Christmas Gala|Teacher>Keith McCallum",,
"Revelation 3: Polarities",2016-01-23,,,http://repo.neofreedom.org/public/audio/podcasts/xt20160123.mp3,https://podcasts.neofreedom.org/files/Rev.03-Modern-World-2.pptx,"Teacher>Keith McCallum|Central Teachings>New Testament>Revelation","Revelation 2015",
"Revelation 4: Heaven",2016-01-30,,"Keith teaches about what we have to look forward to as a christian.",http://repo.neofreedom.org/public/audio/podcasts/xt20160130.mp3,,"Teacher>Keith McCallum|Central Teachings>New Testament>Revelation","Revelation 2015",
"Fighting Gravity",2016-02-06,,"Fighting Gravitity",http://repo.neofreedom.org/public/audio/podcasts/fst2016.mp3,,"Retreat Teachings>FST|Central Teachings>Topical|Teacher>Keith McCallum",,
"Revelation 5: What is it Worth?",2016-02-20,,,http://repo.neofreedom.org/public/audio/podcasts/xt20160220.mp3,https://podcasts.neofreedom.org/files/Rev.05-What-Is-It-Worth.pptx,"Teacher>Keith McCallum|Central Teachings>New Testament>Revelation","Revelation 2015",
"Revelation 6: The Four Riders",2016-03-05,,,"http://repo.neofreedom.org/public/audio/podcasts/xt20160305.mp3
170437593
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:11:01"";}",https://podcasts.neofreedom.org/files/Rev.6-Four-Riders-Beyond.pptx,"Teacher>Keith McCallum|Central Teachings>New Testament>Revelation","Revelation 2015",
"Titus: Titus Time",2016-03-12,,"Joel Hughes talks about the how the Truth inspires Good Deeds.",http://repo.neofreedom.org/public/audio/podcasts/xt20160312.mp3,,"Teacher>Joel Hughes|Central Teachings>New Testament>Titus",,
"Spring Break 2016",2016-03-21,,"Thomas Smith, Ian Mccullough, and Keith Mccallum","http://repo.neofreedom.org/public/audio/podcasts/florida16.mp3
13213780
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:05:30"";}",,"Central Teachings>Topical|Retreat Teachings>Spring Break|Teacher>Keith McCallum|Teacher>Guest",,
"Revelation 7: Provision",2016-04-02,,,"http://repo.neofreedom.org/public/audio/podcasts/xt20160402.mp3
172566050
audio/mpeg
a:1:{s:8:""duration"";s:8:""01:11:54"";}",https://podcasts.neofreedom.org/files/Rev.07-Provision.pptx,"Teacher>Keith McCallum|Central Teachings>New Testament>Revelation","Revelation 2015",
"Revelation 8: Rage",2016-04-09,,,"http://repo.neofreedom.org/public/audio/podcasts/xt20160409.mp3
2427916
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:01:01"";}",https://podcasts.neofreedom.org/files/Rev.-8-Rage.pptx,"Teacher>Keith McCallum|Central Teachings>New Testament>Revelation","Revelation 2015",
"1 Kings 17: Elijah",2016-04-16,,"Scott Pfeiffer and Thomas Smith teach about the life of Elijah","http://repo.neofreedom.org/public/audio/podcasts/xt20160416.mp3

audio/mpeg",,"Central Teachings>Old Testament>1 Kings|Teacher>Guest",,
"Revelation 11: Jerusalem",2016-04-23,,,"http://repo.neofreedom.org/public/audio/podcasts/xt20160423.mp3
4873024
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:03:23"";}",,"Teacher>Keith McCallum|Central Teachings>New Testament>Revelation","Revelation 2015",
"What is the Passion?",2004-04-25,,,"https://repo.neofreedom.org/public/audio/podcasts/passion1.mp3
8422195
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:56:28"";}",,"Central Teachings>Topical|Teacher>Keith McCallum",Passion,
"The Crucifixion, In Jesus' Own Words",2004-05-02,,,"https://repo.neofreedom.org/public/audio/podcasts/passion2.mp3
6941876
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:46:33"";}",,"Central Teachings>Topical|Teacher>greg morscher",Passion,
"The Resurrection",2004-05-09,,,"https://repo.neofreedom.org/public/audio/podcasts/passionz.mp3
8204048
audio/mpeg
a:1:{s:8:""duration"";s:7:""0:55:00"";}",,"Central Teachings>Topical|Teacher>Keith McCallum",Passion,
"Revelation 12: Legacy of Hatred",2016-05-07,,,"http://repo.neofreedom.org/public/audio/podcasts/xt20160507.mp3

audio/mpeg",https://podcasts.neofreedom.org/files/Rev.12-Legacy-of-Hatred.pptx,"Testimony|Teacher>Keith McCallum|Central Teachings>New Testament>Revelation","Revelation 2015",
"Judges 1: Be Saved",2016-05-21,,"Keith starts the summer series in the book of ""Saviors"" or better known as Judges!","http://repo.neofreedom.org/public/audio/podcasts/xt20160521.mp3
2140952
audio/mpeg
a:1:{s:8:""duration"";s:8:""00:02:14"";}",,"Central Teachings>Old Testament>Judges|Teacher>Keith McCallum",Judges,
